agent_position,agent_value,asset_class,benchmark_return,buy_hold_value,close,daily_return,date,risk_style,ticker
0.0,108302.9775220413,high-volatility growth stock,-6.973703038437584e-05,128749.74389038696,430.1400146484375,-0.0,2025-12-01,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,-0.0020923987153301793,128480.34809167162,429.239990234375,-0.0,2025-12-02,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.04076973347810542,133718.4576405433,446.739990234375,0.0,2025-12-03,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.017437455153354264,136050.16724882595,454.5299987792969,0.0,2025-12-04,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.0010340378456106247,136190.8482706629,455.0,0.0,2025-12-05,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,-0.033890139401614006,131575.32143754605,439.5799865722656,-0.0,2025-12-08,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.01271674558948499,133248.53132612203,445.1700134277344,0.0,2025-12-09,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.01410696720325344,135128.26398742132,451.4500122070313,0.0,2025-12-10,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,-0.010100780674035303,133763.36303002122,446.8900146484375,-0.0,2025-12-11,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.027008830833098685,137376.15507376543,458.9599914550781,0.0,2025-12-12,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.035624033484225714,142270.04782204743,475.30999755859375,0.0,2025-12-15,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.030653694218629735,146631.1503644543,489.8800048828125,0.0,2025-12-16,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,-0.04617456293730249,139860.52108338175,467.260009765625,-0.0,2025-12-17,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.034477560704677446,144682.57068922187,483.3699951171875,0.0,2025-12-18,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,-0.004489279293453219,144033.05022050318,481.2000122070313,-0.0,2025-12-19,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,0.015648376118613028,146286.9335638647,488.7300109863281,0.0,2025-12-22,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,-0.00648622625268469,145338.08341495803,485.55999755859375,-0.0,2025-12-23,very_high_volatility,TSLA
0.0,108302.9775220413,high-volatility growth stock,-0.00032952397832164415,145290.1910315095,485.3999938964844,-0.0,2025-12-24,very_high_volatility,TSLA
0.6,106936.13884594271,high-volatility growth stock,-0.021034181259704465,142234.13081809564,475.1900024414063,-0.01262050875582268,2025-12-26,very_high_volatility,TSLA
0.6,104836.52945373543,high-volatility growth stock,-0.032723726747357684,137579.69998705634,459.6400146484375,-0.01963423604841461,2025-12-29,very_high_volatility,TSLA
0.6,104123.53588757421,high-volatility growth stock,-0.01133500523587172,136020.2333673534,454.4299926757813,-0.006801003141523032,2025-12-30,very_high_volatility,TSLA
0.6,103476.0157341416,high-volatility growth stock,-0.010364613980130888,134610.43615501345,449.7200012207031,-0.006218768388078532,2025-12-31,very_high_volatility,TSLA
0.6,101867.68839918237,high-volatility growth stock,-0.02590499391813128,131123.35362510083,438.0700073242188,-0.015542996350878767,2026-01-02,very_high_volatility,TSLA
0.6,103765.19495404846,high-volatility growth stock,0.031045280151877908,135194.11487284585,451.6700134277344,0.018627168091126745,2026-01-05,very_high_volatility,TSLA
0.6,101186.16731900114,high-volatility growth stock,-0.041424095947095174,129593.82088687048,432.9599914550781,-0.024854457568257105,2026-01-06,very_high_volatility,TSLA
0.6,100968.8206903189,high-volatility growth stock,-0.0035799792672750463,129129.87769492852,431.4100036621094,-0.002147987560365028,2026-01-07,very_high_volatility,TSLA
0.6,101585.2897338452,high-volatility growth stock,0.01017589785492734,130443.89014037138,435.7999877929688,0.006105538712956404,2026-01-08,very_high_volatility,TSLA
0.6,102873.40737049622,high-volatility growth stock,0.02113359850994656,133200.63894267357,445.010009765625,0.012680159105967936,2026-01-09,very_high_volatility,TSLA
0.6,103421.28009227045,high-volatility growth stock,0.00887616368794375,134382.94961726744,448.9599914550781,0.00532569821276625,2026-01-12,very_high_volatility,TSLA
0.6,103178.02549021259,high-volatility growth stock,-0.003920124914344236,133856.15166840973,447.2000122070313,-0.002352074948606542,2026-01-13,very_high_volatility,TSLA
0.6,102070.56907510913,high-volatility growth stock,-0.017889087168218576,131461.58730321127,439.2000122070313,-0.010733452300931146,2026-01-14,very_high_volatility,TSLA
0.6,101982.72077576283,high-volatility growth stock,-0.0014344373071545347,131273.0138979258,438.5700073242188,-0.0008606623842927208,2026-01-15,very_high_volatility,TSLA
0.6,101833.43251206291,high-volatility growth stock,-0.0024397640202235005,130952.73872179133,437.5,-0.0014638584121341002,2026-01-16,very_high_volatility,TSLA
0.6,99284.68717261814,high-volatility growth stock,-0.041714285714285704,125490.13876368232,419.25,-0.02502857142857142,2026-01-20,very_high_volatility,TSLA
