asset,date,close,volume,daily_return,ma20,ma60,ret20,vol20,drawdown60,rsi14,macd,macd_signal
DIA,2025-11-18,461.29999,12817500,-0.010765,472.58,464.74717,-0.016879,0.126004,-0.044453,34.2265,1.01604,2.550571
DIA,2025-11-19,461.76001,5833400,0.000997,472.379,464.86833,-0.008631,0.123744,-0.044453,35.86518,0.199466,2.08035
DIA,2025-11-20,458.10001,13414200,-0.007926,471.9195,464.90283,-0.019667,0.125714,-0.051081,32.38421,-0.734538,1.517372
DIA,2025-11-21,462.57001,11821400,0.009758,471.4375,464.99917,-0.020415,0.124806,-0.051081,39.54739,-1.101356,0.993627
DIA,2025-11-24,464.44,6206800,0.004043,470.892,465.13833,-0.022952,0.123016,-0.051081,43.72085,-1.227024,0.549497
DIA,2025-11-25,471.17999,7203600,0.014512,470.5935,465.43117,-0.012512,0.134096,-0.051081,48.27587,-0.773836,0.28483
DIA,2025-11-26,474.35001,5689100,0.006728,470.4925,465.78267,-0.00424,0.1365,-0.051081,54.58326,-0.157077,0.196449
DIA,2025-11-28,477.17999,2281800,0.005966,470.601,466.11817,0.004568,0.13779,-0.051081,56.35858,0.553683,0.267895
DIA,2025-12-01,473.32001,4413900,-0.008089,470.4835,466.42367,-0.00494,0.140837,-0.051081,49.56491,0.796317,0.37358
DIA,2025-12-02,475.26001,5233500,0.004099,470.573,466.74133,0.003781,0.140615,-0.051081,46.14385,1.132098,0.525283
DIA,2025-12-03,479.41,5994200,0.008732,470.9985,467.098,0.018072,0.142039,-0.051081,46.93279,1.713327,0.762892
DIA,2025-12-04,479.07001,4003800,-0.000709,471.2965,467.48367,0.012598,0.141436,-0.051081,54.61327,2.122058,1.034725
DIA,2025-12-05,480.03,4596600,0.002004,471.834,467.7855,0.022907,0.137633,-0.051081,59.15463,2.494687,1.326718
DIA,2025-12-08,478.14999,4427600,-0.003916,472.2485,468.09933,0.017644,0.138809,-0.051081,64.3047,2.608231,1.58302
DIA,2025-12-09,476.42001,4266900,-0.003618,472.3785,468.37183,0.005487,0.136728,-0.051081,69.86342,2.529463,1.772309
DIA,2025-12-10,481.35001,5476200,0.010348,472.4755,468.748,0.004047,0.1352,-0.051081,73.03083,2.832199,1.984287
DIA,2025-12-11,487.87,6972300,0.013545,472.731,469.1915,0.010585,0.141405,-0.051081,82.79361,3.557223,2.298874
DIA,2025-12-12,485.39999,7089900,-0.005063,473.264,469.571,0.022454,0.128115,-0.051081,76.30794,3.887687,2.616637
DIA,2025-12-15,485.17001,4891300,-0.000474,473.9325,469.9415,0.028338,0.125351,-0.051081,74.82641,4.083947,2.910099
DIA,2025-12-16,481.98001,5373200,-0.006575,474.7155,470.24667,0.033582,0.119537,-0.051081,64.13618,3.936698,3.115419
DIA,2025-12-17,479.79999,6381600,-0.004523,475.6405,470.52883,0.040104,0.112781,-0.051081,57.32329,3.602565,3.212848
DIA,2025-12-18,480.51001,6422800,0.00148,476.578,470.85367,0.040606,0.112737,-0.051081,54.74497,3.356364,3.241551
DIA,2025-12-19,481.14999,6439100,0.001332,477.7305,471.21567,0.050316,0.106527,-0.051081,62.28427,3.176276,3.228496
DIA,2025-12-22,483.45999,4162000,0.004801,478.775,471.56867,0.045161,0.103444,-0.051081,62.71711,3.183258,3.219449
DIA,2025-12-23,484.23001,3677800,0.001593,479.7645,471.92183,0.04261,0.10324,-0.051081,58.35068,3.213877,3.218334
DIA,2025-12-24,487.01001,1544000,0.005741,480.556,472.30967,0.033597,0.093498,-0.051081,62.68371,3.423008,3.259269
DIA,2025-12-26,487.03,2711500,4.1e-05,481.19,472.68917,0.026731,0.091696,-0.051081,61.52833,3.549442,3.317304
DIA,2025-12-29,484.59,3390100,-0.00501,481.5605,473.01383,0.015529,0.092618,-0.051081,60.41398,3.413407,3.336524
DIA,2025-12-30,483.59,3042700,-0.002064,482.074,473.28183,0.021698,0.087274,-0.051081,61.87476,3.188156,3.306851
DIA,2025-12-31,480.57001,3441900,-0.006245,482.3395,473.51067,0.011173,0.090216,-0.051081,48.62094,2.734434,3.192367
DIA,2026-01-02,483.63,7021100,0.006367,482.5505,473.805,0.008802,0.087735,-0.051081,41.45852,2.591894,3.072273
DIA,2026-01-05,489.76999,7574400,0.012696,483.0855,474.2,0.022335,0.097716,-0.051081,57.66935,2.94048,3.045914
DIA,2026-01-06,494.60999,6061400,0.009882,483.8145,474.7185,0.030373,0.10254,-0.051081,64.25977,3.566175,3.149966
DIA,2026-01-07,489.95999,5603700,-0.009401,484.405,475.30333,0.024699,0.108093,-0.051081,61.54511,3.644812,3.248935
DIA,2026-01-08,492.53,6544800,0.005245,485.2105,475.83417,0.033815,0.107383,-0.051081,68.21176,3.869901,3.373129
DIA,2026-01-09,495.01999,6004600,0.005056,485.894,476.37267,0.028399,0.103286,-0.051081,69.75224,4.200783,3.538659
DIA,2026-01-12,495.89999,5722400,0.001778,486.2955,476.92583,0.016459,0.092888,-0.051081,69.94862,4.482349,3.727397
DIA,2026-01-13,491.94,5966400,-0.007985,486.6225,477.4655,0.013473,0.09588,-0.051081,60.97879,4.335971,3.849112
DIA,2026-01-14,491.57999,6767800,-0.000732,486.943,477.96217,0.013212,0.095925,-0.051081,59.61788,4.143156,3.907921
DIA,2026-01-15,494.48001,8519900,0.005899,487.568,478.41983,0.025935,0.093615,-0.051081,59.74433,4.176215,3.96158
DIA,2026-01-16,493.42001,5845500,-0.002144,488.249,478.82317,0.028387,0.09202,-0.051081,58.11534,4.069966,3.983257
DIA,2026-01-20,484.88,7416300,-0.017308,488.4675,479.1415,0.009094,0.113506,-0.051081,50.3189,3.259086,3.838423
DIA,2026-01-21,490.79999,6718600,0.012209,488.95,479.53333,0.020056,0.120917,-0.051081,57.15419,3.058891,3.682516
DIA,2026-01-22,493.69,5087200,0.005888,489.4615,479.89133,0.02116,0.121429,-0.051081,63.05212,3.097726,3.565558
DIA,2026-01-23,490.92999,4915700,-0.005591,489.7965,480.151,0.013836,0.123679,-0.051081,57.30583,2.872679,3.426982
DIA,2026-01-26,494.06,3722800,0.006376,490.149,480.43283,0.014476,0.124041,-0.051081,54.5687,2.913309,3.324248
DIA,2026-01-27,490.06,5971400,-0.008096,490.3005,480.661,0.006221,0.127957,-0.051081,45.06616,2.592854,3.177969
DIA,2026-01-28,490.13,4726500,0.000143,490.5775,480.913,0.011432,0.126397,-0.051081,50.20469,2.317822,3.00594
DIA,2026-01-29,490.20999,9706500,0.000163,490.9085,481.15533,0.013689,0.126022,-0.051081,47.02868,2.082308,2.821213
DIA,2026-01-30,489.03,8112100,-0.002407,491.3315,481.41467,0.017604,0.123931,-0.051081,42.06204,1.779927,2.612956
DIA,2026-02-02,494.03,5584500,0.010224,491.8515,481.80017,0.021504,0.126908,-0.051081,47.76584,1.921596,2.474684
DIA,2026-02-03,492.31,8799100,-0.003482,491.9785,482.12017,0.005186,0.120104,-0.051081,50.46705,1.873483,2.354444
DIA,2026-02-04,494.75,8797100,0.004956,491.9855,482.54467,0.000283,0.116089,-0.051081,53.80188,2.009082,2.285371
DIA,2026-02-05,488.91,7767500,-0.011804,491.933,482.86217,-0.002143,0.118958,-0.051081,43.7598,1.626556,2.153608
DIA,2026-02-06,501.03,10635300,0.02479,492.358,483.31567,0.017258,0.147395,-0.051081,56.83245,2.275157,2.177918
DIA,2026-02-09,501.22,6414800,0.000379,492.668,483.67917,0.012525,0.146577,-0.051081,67.25813,2.77255,2.296845
DIA,2026-02-10,501.89999,8163100,0.001357,492.968,483.99817,0.012099,0.146543,-0.051081,63.1829,3.184893,2.474454
DIA,2026-02-11,501.32999,5743800,-0.001136,493.4375,484.44133,0.019088,0.143172,-0.051081,59.6028,3.426189,2.664801
DIA,2026-02-12,494.67001,9160300,-0.013285,493.592,484.8225,0.006286,0.151839,-0.051081,54.28116,3.044913,2.740824
DIA,2026-02-13,495.28,8378100,0.001233,493.632,485.30517,0.001618,0.150478,-0.051081,51.48202,2.760153,2.744689
DIA,2026-02-17,495.85001,6779400,0.001151,493.7535,485.881,0.004925,0.150273,-0.051081,57.67296,2.551066,2.705965
DIA,2026-02-18,497.0,4454300,0.002319,494.3595,486.46833,0.024996,0.135185,-0.051081,58.85082,2.449917,2.654755
DIA,2026-02-19,494.38,4625400,-0.005272,494.5385,487.073,0.007294,0.130585,-0.041822,55.04234,2.133747,2.550553
DIA,2026-02-20,496.07999,6086800,0.003439,494.658,487.6315,0.004841,0.129503,-0.037948,58.41891,1.997331,2.439909
DIA,2026-02-23,488.01001,8269200,-0.016267,494.512,488.02433,-0.005948,0.140954,-0.027675,43.30218,1.223931,2.196713
DIA,2026-02-24,491.79001,5335000,0.007746,494.3985,488.36783,-0.004595,0.141891,-0.027675,49.44682,0.905582,1.938487
DIA,2026-02-25,494.82001,4446200,0.006161,494.6365,488.709,0.009713,0.140375,-0.027675,50.07355,0.887552,1.7283
DIA,2026-02-26,494.85999,6467000,8.1e-05,494.873,489.00367,0.00965,0.140377,-0.027675,57.11893,0.866501,1.55594
DIA,2026-02-27,489.66,7198400,-0.010508,494.8455,489.276,-0.001122,0.145742,-0.027675,33.69653,0.42532,1.329816
DIA,2026-03-02,489.17999,7218500,-0.00098,494.853,489.508,0.000307,0.145519,-0.027675,32.8782,0.036527,1.071158
DIA,2026-03-03,485.51999,11570700,-0.007482,494.4275,489.60983,-0.017226,0.142653,-0.032636,28.52641,-0.560466,0.744834
